# RecNo  Instrument time            Corrected to reference     Corrected-Instrument    Instrument-sync_inst[0]
      0  2022-01-01T00:00:00.00000  2022-01-01T00:00:00.00000         0.00000                    0.00000
      1  2022-01-10T04:02:00.00000  2022-01-10T04:02:00.00500         0.00500               792120.00000
      2  2022-01-19T08:04:00.00000  2022-01-19T08:04:00.00980         0.00980              1584240.00000
      3  2022-01-28T12:06:00.00000  2022-01-28T12:06:00.01410         0.01410              2376360.00000
      4  2022-02-06T16:08:00.00000  2022-02-06T16:08:00.01770         0.01770              3168480.00000
      5  2022-02-15T20:10:00.00000  2022-02-15T20:10:00.02030         0.02030              3960600.00000
      6  2022-02-25T00:12:00.00000  2022-02-25T00:12:00.02160         0.02160              4752720.00000
      7  2022-03-06T04:14:00.00000  2022-03-06T04:14:00.02150         0.02150              5544840.00000
      8  2022-03-15T08:16:00.00000  2022-03-15T08:16:00.01960         0.01960              6336960.00000
      9  2022-03-24T12:18:00.00000  2022-03-24T12:18:00.01570         0.01570              7129080.00000
     10  2022-04-02T16:20:00.00000  2022-04-02T16:20:00.00970         0.00970              7921200.00000
     11  2022-04-11T20:22:00.00000  2022-04-11T20:22:00.00120         0.00120              8713320.00000
     12  2022-04-21T00:24:00.00000  2022-04-21T00:23:59.98990        -0.01010              9505440.00000
     13  2022-04-30T04:26:00.00000  2022-04-30T04:25:59.97570        -0.02430             10297560.00000
     14  2022-05-09T08:28:00.00000  2022-05-09T08:27:59.95830        -0.04170             11089680.00000
     15  2022-05-18T12:30:00.00000  2022-05-18T12:29:59.93750        -0.06250             11881800.00000
     16  2022-05-27T16:32:00.00000  2022-05-27T16:31:59.91290        -0.08710             12673920.00000
     17  2022-06-05T20:34:00.00000  2022-06-05T20:33:59.88440        -0.11560             13466040.00000
     18  2022-06-15T00:36:00.00000  2022-06-15T00:35:59.85190        -0.14810             14258160.00000
     19  2022-06-24T04:38:00.00000  2022-06-24T04:37:59.81570        -0.18430             15050280.00000
     20  2022-07-03T08:40:00.00000  2022-07-03T08:39:59.77580        -0.22420             15842400.00000
     21  2022-07-12T12:42:00.00000  2022-07-12T12:41:59.73250        -0.26750             16634520.00000
     22  2022-07-21T16:44:00.00000  2022-07-21T16:43:59.68590        -0.31410             17426640.00000
     23  2022-07-30T20:46:00.00000  2022-07-30T20:45:59.63620        -0.36380             18218760.00000
     24  2022-08-09T00:48:00.00000  2022-08-09T00:47:59.58360        -0.41640             19010880.00000
     25  2022-08-18T04:50:00.00000  2022-08-18T04:49:59.52820        -0.47180             19803000.00000
     26  2022-08-27T08:52:00.00000  2022-08-27T08:51:59.47030        -0.52970             20595120.00000
     27  2022-09-05T12:54:00.00000  2022-09-05T12:53:59.40990        -0.59010             21387240.00000
     28  2022-09-14T16:56:00.00000  2022-09-14T16:55:59.34730        -0.65270             22179360.00000
     29  2022-09-23T20:58:00.00000  2022-09-23T20:57:59.28270        -0.71730             22971480.00000
     30  2022-10-03T01:00:00.00000  2022-10-03T00:59:59.21620        -0.78380             23763600.00000
     31  2022-10-12T05:02:00.00000  2022-10-12T05:01:59.14790        -0.85210             24555720.00000
     32  2022-10-21T09:04:00.00000  2022-10-21T09:03:59.07820        -0.92180             25347840.00000
     33  2022-10-30T13:06:00.00000  2022-10-30T13:05:59.00710        -0.99290             26139960.00000
     34  2022-11-08T17:08:00.00000  2022-11-08T17:07:58.93480        -1.06520             26932080.00000
     35  2022-11-17T21:10:00.00000  2022-11-17T21:09:58.86140        -1.13860             27724200.00000
     36  2022-11-27T01:12:00.00000  2022-11-27T01:11:58.78730        -1.21270             28516320.00000
     37  2022-12-06T05:14:00.00000  2022-12-06T05:13:58.71250        -1.28750             29308440.00000
     38  2022-12-15T09:16:00.00000  2022-12-15T09:15:58.63720        -1.36280             30100560.00000
     39  2022-12-24T13:18:00.00000  2022-12-24T13:17:58.56150        -1.43850             30892680.00000
