Rec#  | Original time              | Corrected time             | Difference | Offset from start
----- | -------------------------- | -------------------------- | ---------- | -----------------
    0 | 2022-01-01T00:00:00        | 2022-01-01T00:00:00        |      0.000 |               0
    1 | 2022-01-10T04:02:00        | 2022-01-10T04:01:59.962300 |     -0.038 |          792120
    2 | 2022-01-19T08:04:00        | 2022-01-19T08:03:59.924600 |     -0.075 |         1584240
    3 | 2022-01-28T12:06:00        | 2022-01-28T12:05:59.887000 |     -0.113 |         2376360
    4 | 2022-02-06T16:08:00        | 2022-02-06T16:07:59.849300 |     -0.151 |         3168480
    5 | 2022-02-15T20:10:00        | 2022-02-15T20:09:59.811600 |     -0.188 |         3960600
    6 | 2022-02-25T00:12:00        | 2022-02-25T00:11:59.773900 |     -0.226 |         4752720
    7 | 2022-03-06T04:14:00        | 2022-03-06T04:13:59.736300 |     -0.264 |         5544840
    8 | 2022-03-15T08:16:00        | 2022-03-15T08:15:59.698600 |     -0.301 |         6336960
    9 | 2022-03-24T12:18:00        | 2022-03-24T12:17:59.660900 |     -0.339 |         7129080
   10 | 2022-04-02T16:20:00        | 2022-04-02T16:19:59.623200 |     -0.377 |         7921200
   11 | 2022-04-11T20:22:00        | 2022-04-11T20:21:59.585600 |     -0.414 |         8713320
   12 | 2022-04-21T00:24:00        | 2022-04-21T00:23:59.547900 |     -0.452 |         9505440
   13 | 2022-04-30T04:26:00        | 2022-04-30T04:25:59.510200 |     -0.490 |        10297560
   14 | 2022-05-09T08:28:00        | 2022-05-09T08:27:59.472500 |     -0.527 |        11089680
   15 | 2022-05-18T12:30:00        | 2022-05-18T12:29:59.434800 |     -0.565 |        11881800
   16 | 2022-05-27T16:32:00        | 2022-05-27T16:31:59.397200 |     -0.603 |        12673920
   17 | 2022-06-05T20:34:00        | 2022-06-05T20:33:59.359500 |     -0.640 |        13466040
   18 | 2022-06-15T00:36:00        | 2022-06-15T00:35:59.321800 |     -0.678 |        14258160
   19 | 2022-06-24T04:38:00        | 2022-06-24T04:37:59.284100 |     -0.716 |        15050280
   20 | 2022-07-03T08:40:00        | 2022-07-03T08:39:59.246500 |     -0.753 |        15842400
   21 | 2022-07-12T12:42:00        | 2022-07-12T12:41:59.208800 |     -0.791 |        16634520
   22 | 2022-07-21T16:44:00        | 2022-07-21T16:43:59.171100 |     -0.829 |        17426640
   23 | 2022-07-30T20:46:00        | 2022-07-30T20:45:59.133400 |     -0.867 |        18218760
   24 | 2022-08-09T00:48:00        | 2022-08-09T00:47:59.095800 |     -0.904 |        19010880
   25 | 2022-08-18T04:50:00        | 2022-08-18T04:49:59.058100 |     -0.942 |        19803000
   26 | 2022-08-27T08:52:00        | 2022-08-27T08:51:59.020400 |     -0.980 |        20595120
   27 | 2022-09-05T12:54:00        | 2022-09-05T12:53:58.982700 |     -1.017 |        21387240
   28 | 2022-09-14T16:56:00        | 2022-09-14T16:55:58.945000 |     -1.055 |        22179360
   29 | 2022-09-23T20:58:00        | 2022-09-23T20:57:58.907400 |     -1.093 |        22971480
   30 | 2022-10-03T01:00:00        | 2022-10-03T00:59:58.869700 |     -1.130 |        23763600
   31 | 2022-10-12T05:02:00        | 2022-10-12T05:01:58.832000 |     -1.168 |        24555720
   32 | 2022-10-21T09:04:00        | 2022-10-21T09:03:58.794300 |     -1.206 |        25347840
   33 | 2022-10-30T13:06:00        | 2022-10-30T13:05:58.756700 |     -1.243 |        26139960
   34 | 2022-11-08T17:08:00        | 2022-11-08T17:07:58.719000 |     -1.281 |        26932080
   35 | 2022-11-17T21:10:00        | 2022-11-17T21:09:58.681300 |     -1.319 |        27724200
   36 | 2022-11-27T01:12:00        | 2022-11-27T01:11:58.643600 |     -1.356 |        28516320
   37 | 2022-12-06T05:14:00        | 2022-12-06T05:13:58.606000 |     -1.394 |        29308440
   38 | 2022-12-15T09:16:00        | 2022-12-15T09:15:58.568300 |     -1.432 |        30100560
   39 | 2022-12-24T13:18:00        | 2022-12-24T13:17:58.530600 |     -1.469 |        30892680
