# RecNo  Instrument time            Corrected to reference     Corrected-Instrument    Instrument-sync_inst[0]
      0  2022-01-01T00:00:00.00000  2022-01-01T00:00:00.00000         0.00000                    0.00000
      1  2022-01-10T04:02:00.00000  2022-01-10T04:01:59.99390        -0.00610               792120.00000
      2  2022-01-19T08:04:00.00000  2022-01-19T08:03:59.98790        -0.01210              1584240.00000
      3  2022-01-28T12:06:00.00000  2022-01-28T12:05:59.98180        -0.01820              2376360.00000
      4  2022-02-06T16:08:00.00000  2022-02-06T16:07:59.97570        -0.02430              3168480.00000
      5  2022-02-15T20:10:00.00000  2022-02-15T20:09:59.96960        -0.03040              3960600.00000
      6  2022-02-25T00:12:00.00000  2022-02-25T00:11:59.96360        -0.03640              4752720.00000
      7  2022-03-06T04:14:00.00000  2022-03-06T04:13:59.95750        -0.04250              5544840.00000
      8  2022-03-15T08:16:00.00000  2022-03-15T08:15:59.95140        -0.04860              6336960.00000
      9  2022-03-24T12:18:00.00000  2022-03-24T12:17:59.94540        -0.05460              7129080.00000
     10  2022-04-02T16:20:00.00000  2022-04-02T16:19:59.93930        -0.06070              7921200.00000
     11  2022-04-11T20:22:00.00000  2022-04-11T20:21:59.93320        -0.06680              8713320.00000
     12  2022-04-21T00:24:00.00000  2022-04-21T00:23:59.92710        -0.07290              9505440.00000
     13  2022-04-30T04:26:00.00000  2022-04-30T04:25:59.92110        -0.07890             10297560.00000
     14  2022-05-09T08:28:00.00000  2022-05-09T08:27:59.91500        -0.08500             11089680.00000
     15  2022-05-18T12:30:00.00000  2022-05-18T12:29:59.90890        -0.09110             11881800.00000
     16  2022-05-27T16:32:00.00000  2022-05-27T16:31:59.90290        -0.09710             12673920.00000
     17  2022-06-05T20:34:00.00000  2022-06-05T20:33:59.86820        -0.13180             13466040.00000
     18  2022-06-15T00:36:00.00000  2022-06-15T00:35:59.80820        -0.19180             14258160.00000
     19  2022-06-24T04:38:00.00000  2022-06-24T04:37:59.74830        -0.25170             15050280.00000
     20  2022-07-03T08:40:00.00000  2022-07-03T08:39:59.68830        -0.31170             15842400.00000
     21  2022-07-12T12:42:00.00000  2022-07-12T12:41:59.62830        -0.37170             16634520.00000
     22  2022-07-21T16:44:00.00000  2022-07-21T16:43:59.56830        -0.43170             17426640.00000
     23  2022-07-30T20:46:00.00000  2022-07-30T20:45:59.50840        -0.49160             18218760.00000
     24  2022-08-09T00:48:00.00000  2022-08-09T00:47:59.44840        -0.55160             19010880.00000
     25  2022-08-18T04:50:00.00000  2022-08-18T04:49:59.38840        -0.61160             19803000.00000
     26  2022-08-27T08:52:00.00000  2022-08-27T08:51:59.32840        -0.67160             20595120.00000
     27  2022-09-05T12:54:00.00000  2022-09-05T12:53:59.26840        -0.73160             21387240.00000
     28  2022-09-14T16:56:00.00000  2022-09-14T16:55:59.20850        -0.79150             22179360.00000
     29  2022-09-23T20:58:00.00000  2022-09-23T20:57:59.14850        -0.85150             22971480.00000
     30  2022-10-03T01:00:00.00000  2022-10-03T00:59:59.08850        -0.91150             23763600.00000
     31  2022-10-12T05:02:00.00000  2022-10-12T05:01:59.02850        -0.97150             24555720.00000
     32  2022-10-21T09:04:00.00000  2022-10-21T09:03:58.96860        -1.03140             25347840.00000
     33  2022-10-30T13:06:00.00000  2022-10-30T13:05:58.90860        -1.09140             26139960.00000
     34  2022-11-08T17:08:00.00000  2022-11-08T17:07:58.84860        -1.15140             26932080.00000
     35  2022-11-17T21:10:00.00000  2022-11-17T21:09:58.78860        -1.21140             27724200.00000
     36  2022-11-27T01:12:00.00000  2022-11-27T01:11:58.72860        -1.27140             28516320.00000
     37  2022-12-06T05:14:00.00000  2022-12-06T05:13:58.66870        -1.33130             29308440.00000
     38  2022-12-15T09:16:00.00000  2022-12-15T09:15:58.60870        -1.39130             30100560.00000
     39  2022-12-24T13:18:00.00000  2022-12-24T13:17:58.54870        -1.45130             30892680.00000
