# RecNo  Instrument time            Corrected to reference     Corrected-Instrument    Instrument-sync_inst[0]
      0  2022-01-01T00:00:00.00000  2021-12-31T23:59:59.99900        -0.00100                   -0.00100
      1  2022-01-10T04:02:00.00000  2022-01-10T04:01:59.99540        -0.00460               792119.99900
      2  2022-01-19T08:04:00.00000  2022-01-19T08:03:59.99010        -0.00990              1584239.99900
      3  2022-01-28T12:06:00.00000  2022-01-28T12:05:59.98310        -0.01690              2376359.99900
      4  2022-02-06T16:08:00.00000  2022-02-06T16:07:59.97420        -0.02580              3168479.99900
      5  2022-02-15T20:10:00.00000  2022-02-15T20:09:59.96370        -0.03630              3960599.99900
      6  2022-02-25T00:12:00.00000  2022-02-25T00:11:59.95130        -0.04870              4752719.99900
      7  2022-03-06T04:14:00.00000  2022-03-06T04:13:59.93720        -0.06280              5544839.99900
      8  2022-03-15T08:16:00.00000  2022-03-15T08:15:59.92140        -0.07860              6336959.99900
      9  2022-03-24T12:18:00.00000  2022-03-24T12:17:59.90380        -0.09620              7129079.99900
     10  2022-04-02T16:20:00.00000  2022-04-02T16:19:59.88440        -0.11560              7921199.99900
     11  2022-04-11T20:22:00.00000  2022-04-11T20:21:59.86330        -0.13670              8713319.99900
     12  2022-04-21T00:24:00.00000  2022-04-21T00:23:59.84040        -0.15960              9505439.99900
     13  2022-04-30T04:26:00.00000  2022-04-30T04:25:59.81570        -0.18430             10297559.99900
     14  2022-05-09T08:28:00.00000  2022-05-09T08:27:59.78930        -0.21070             11089679.99900
     15  2022-05-18T12:30:00.00000  2022-05-18T12:29:59.76120        -0.23880             11881799.99900
     16  2022-05-27T16:32:00.00000  2022-05-27T16:31:59.73130        -0.26870             12673919.99900
     17  2022-06-05T20:34:00.00000  2022-06-05T20:33:59.69960        -0.30040             13466039.99900
     18  2022-06-15T00:36:00.00000  2022-06-15T00:35:59.66620        -0.33380             14258159.99900
     19  2022-06-24T04:38:00.00000  2022-06-24T04:37:59.63100        -0.36900             15050279.99900
     20  2022-07-03T08:40:00.00000  2022-07-03T08:39:59.59410        -0.40590             15842399.99900
     21  2022-07-12T12:42:00.00000  2022-07-12T12:41:59.55540        -0.44460             16634519.99900
     22  2022-07-21T16:44:00.00000  2022-07-21T16:43:59.51490        -0.48510             17426639.99900
     23  2022-07-30T20:46:00.00000  2022-07-30T20:45:59.47270        -0.52730             18218759.99900
     24  2022-08-09T00:48:00.00000  2022-08-09T00:47:59.42880        -0.57120             19010879.99900
     25  2022-08-18T04:50:00.00000  2022-08-18T04:49:59.38300        -0.61700             19802999.99900
     26  2022-08-27T08:52:00.00000  2022-08-27T08:51:59.33560        -0.66440             20595119.99900
     27  2022-09-05T12:54:00.00000  2022-09-05T12:53:59.28630        -0.71370             21387239.99900
     28  2022-09-14T16:56:00.00000  2022-09-14T16:55:59.23530        -0.76470             22179359.99900
     29  2022-09-23T20:58:00.00000  2022-09-23T20:57:59.18260        -0.81740             22971479.99900
     30  2022-10-03T01:00:00.00000  2022-10-03T00:59:59.12810        -0.87190             23763599.99900
     31  2022-10-12T05:02:00.00000  2022-10-12T05:01:59.07180        -0.92820             24555719.99900
     32  2022-10-21T09:04:00.00000  2022-10-21T09:03:59.01380        -0.98620             25347839.99900
     33  2022-10-30T13:06:00.00000  2022-10-30T13:05:58.95400        -1.04600             26139959.99900
     34  2022-11-08T17:08:00.00000  2022-11-08T17:07:58.89250        -1.10750             26932079.99900
     35  2022-11-17T21:10:00.00000  2022-11-17T21:09:58.82920        -1.17080             27724199.99900
     36  2022-11-27T01:12:00.00000  2022-11-27T01:11:58.76420        -1.23580             28516319.99900
     37  2022-12-06T05:14:00.00000  2022-12-06T05:13:58.69740        -1.30260             29308439.99900
     38  2022-12-15T09:16:00.00000  2022-12-15T09:15:58.62880        -1.37120             30100559.99900
     39  2022-12-24T13:18:00.00000  2022-12-24T13:17:58.55850        -1.44150             30892679.99900
